id;category;name;quantity;price
139312;SSD;Kingfast SSD F10 128GB - Out Of Stock;1;6.200.000.000
162735;SSD;Team MP33 256GB M.2 PCIe 3.0 x4 - TM8FP6256G0C101 - R 1600MB/s & W 1000 MB/s;222;10.700.000.000
162736;SSD;Team MP33 512GB M.2 PCIe 3.0 x4 - TM8FP6512G0C101 - R 1700MB/s & W 1400MB/s;198;16.500.000.000
162737;SSD;Team MP33 1TB M.2 PCIe 3.0 x4 - TM8FP6001T0C101 - R 1800MB/s & W 1500MB/s;32;29.500.000.000
163810;SSD;Apacer AS350 512GB Panther;300;13.190.000.000
170362;SSD;Samsung SSD 870 EVO 1TB - Grs 5th;1;40.150.000.000
174460;SSD;Team MP33 PRO 1TB M.2 PCIe 3.0 x4 - TM8FPD001T0C101 - R 3500MB/s & W 3000MB/s;18;30.500.000.000
174463;SSD;Team MP33 PRO 512GB M.2 PCIe 3.0 x4 - TM8FPD512G0C101 - R 3500MB/s & W 3000MB/s;16;17.000.000.000
177934;SSD;Team T-Force Vulcan Z SSD 1TB SATA3 - T253TZ001T0C101 - R 550MB/s & W 500MB/s;5;27.450.000.000
180974;SSD;PNY CS1031 M.2 2280 NVME PCIe Gen3x4 500GB - Grs 5th - R 2200MB/s & W 1200MB/s;50;16.200.000.000
181025;SSD;ADATA LEGEND 710 256GB M.2 NVME R 2100MB/S W 1000MB/S;204;11.000.000.000
181068;SSD;ADATA LEGEND 710 512GB M.2 NVME R 2400MB/S W 1000MB/S;129;16.100.000.000
181069;SSD;ADATA LEGEND 710 1TB M.2 NVME R 2400MB/S W 1800MB/S;14;31.700.000.000
182454;SSD;PNY CS2241 Series M.2 2280 NVME PCIe Gen4x4 500GB - Grs 5th - R 4700MB/s & W 1700MB/s;1;16.500.000.000
182678;SSD;Samsung SSD 990 PRO M.2 PCIe Gen4 x4 1TB MZ-V9P1T0BW - Grs 5th;7;42.750.000.000
183098;SSD;WD BLACK SN850X NVMe SSD 1TB With Heatsink M.2 2280 PCIe Gen4 x4 - R 7300MB/s W 6300MB/s;25;43.500.000.000
183339;SSD;KLEVV SSD CRAS C910 1TB M.2 2280 NVMe PCle Gen4 x4 - K01TBM2SP0-C91 - R5000MB/s W4800MB/s;1;31.100.000.000
184020;SSD;ADATA LEGEND 710 2TB M.2 NVME R 2400MB/S W 1800MB/S;1;58.600.000.000
184226;SSD;WD Green SN350 NVMe SSD 250GB M.2 2280 PCIe Gen3 x4 - R 2400MB/s W 1500MB/s;89;10.900.000.000
185164;SSD;ADATA SSD SU650 256GB SATA III ( R/W Up to 520 / 450MB/s ) ASU650SS-256GT-R;67;9.100.000.000
187929;SSD;Team T-Force Vulcan Z SSD 512GB SATA3 - T253TZ512G0C101 - R 540MB/s & W 470MB/s;12;17.500.000.000
190024;SSD;Team T-Force G70 PRO 1TB M.2 PCIe Gen4.0 x4 - TM8FFH001T0C128 - R 7400MB/s & W 5500MB/s;15;31.750.000.000
191144;SSD;ADATA LEGEND 900 2TB NVME PCIe Gen4x4 - R 7000MB/S W 5400MB/S - SLEG-900-2TCS;28;59.400.000.000
192269;SSD;KLEVV SSD CRAS C715 512GB M.2 2280 NVMe PCle Gen3 x4 - K512GM2SP0-C7T - R3200MB/s W2000MB/s;222;17.000.000.000
192270;SSD;KLEVV SSD CRAS C715 1TB M.2 2280 NVMe PCle Gen3 x4 - K01TBM2SP0-C7T - R3200MB/s W2000MB/s;97;30.500.000.000
192624;SSD;Samsung SSD 990 EVO PLUS M.2 PCIe Gen5.0 1TB MZ-V9S1T0B - Grs 5th;5;39.650.000.000
193433;SSD;ADATA LEGEND 860 500GB NVME PCIe Gen4x4 - R 5000MB/S W 3000MB/S - SLEG-860-500GCS;174;17.150.000.000
193434;SSD;ADATA LEGEND 860 1TB NVME PCIe Gen4x4 - R 6000MB/S W 4000MB/S - SLEG-860-1000GCS;19;32.100.000.000
194993;SSD;Samsung SSD 9100 PRO M.2 PCIe Gen5.0 1TB MZ-VAP1T0B - Grs 5th;5;44.250.000.000
197236;SSD;CUBE GAMING Phoenix SSD 2TB M.2 NVME PCIe Gen3x4 (Up to - R 3500MB/s W 3200MB/s);41;39.700.000.000
197531;SSD;Kingston SSD NV3 1TB M.2 2230 NVMe PCIe Gen 4.0 x4 - R 6000MB/s W 4000MB/s;6;25.950.000.000
198157;SSD;KLEVV SSD CRAS C910G 2TB M.2 2280 NVMe PCle Gen4 x4 - K02TBM2SP0-10G - R5200MB/s W4800MB/s;13;55.800.000.000
199161;SSD;Apacer AS2280P4X 512GB M.2 NVME PCIe 3.0 x4;61;15.000.000.000
199343;SSD;Team NV5000 2TB M.2 PCIe Gen4 x4 - TM8FGM002T0C101 - R 5000MB/s & W 3000MB/s;8;41.690.000.000
199938;SSD;KLEVV SSD NEO N410+ 256GB - K256GSSDS3-N41 - R540MB/s W500MB/s;2;9.300.000.000
199939;SSD;KLEVV SSD NEO N410+ 512GB - K512GSSDS3-N41 - R540MB/s W500MB/s;14;15.400.000.000
200254;SSD;Team T-Force G50 512GB M.2 PCIe Gen4.0 x4 - TM8FFE512G0C129 - R 5000MB/s & W 2500MB/s;35;17.300.000.000
200546;SSD;Transcend TS256GMTE110S NVMe PCIe Gen3 x4 M.2 256GB (OEM Package);5;9.000.000.000
200791;SSD;Apacer AS2280Q4L 256GB M.2 NVME PCIe 4.0 x4;422;11.500.000.000
200937;SSD;Team T-Force GA PRO 1TB M.2 PCIe Gen5.0 x4 - TM8FFJ001T0C129 - R 10000MB/s & W 8500MB/s;82;32.750.000.000
